Temperature;Turbidity (cm);Dissolved Oxygen (mg/L);Biochemical Oxygen Demand (mg/L);Carbon Dioxide (CO2);pH;Total Alkalinity (mg L-1);Total Hardness (mg L-1);Calcium (mg L-1);Ammonia (mg L-1);Nitrite (mg L-1);Phosphorus (mg L-1);Hydrogen Sulfide (mg L-1);Plankton Count (No. L-1);Water Quality Label;Aquaculture Suitability Tier;Aquaculture Suitability Description
67.45;10.13;0.208;7.474;10.181;4.752;218.365;300.125;337.178;0.286;4.355;0.006;0.067;6070.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
64.63;94.02;11.434;10.86;14.861;3.085;273.94;8.427;363.661;0.096;2.183;0.005;0.023;251.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
65.12;90.65;12.431;12.81;12.32;9.649;220.813;11.726;309.371;0.975;4.902;0.007;0.065;7219.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
1.64;0.07;10.964;8.508;12.955;4.82;266.572;6.628;8.18;0.885;3.572;3.174;0.026;1230.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
64.86;2.12;1.362;13.335;13.603;10.244;252.108;339.892;253.997;0.802;4.656;3.855;0.061;1035.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
3.01;10.47;12.704;12.725;10.059;12.713;279.752;362.552;274.777;0.671;3.467;0.006;0.071;7190.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
70.6;4.41;14.786;10.123;14.151;10.474;240.197;17.792;265.835;0.171;4.764;4.753;0.098;6691.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
80.86;96.61;0.716;10.502;13.137;1.49;296.026;16.102;289.474;0.47;2.963;0.002;0.031;416.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
81.2;11.52;2.211;7.465;14.984;0.048;244.92;7.333;263.256;0.053;2.509;3.223;0.064;7460.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
1.1;10.59;8.637;14.713;10.278;0.004;269.682;322.391;280.793;0.652;4.64;0.009;0.035;923.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
13.83;92.04;1.994;6.833;11.611;13.653;205.487;389.774;5.794;0.668;3.343;4.02;0.024;906.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
12.26;9.29;1.806;14.244;14.925;5.113;250.857;19.07;399.321;0.211;4.555;0.004;0.082;7272.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
3.72;81.15;10.363;6.99;13.895;4.244;263.449;374.351;316.208;0.927;2.454;4.551;0.078;81.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
75.79;97.4;10.91;12.896;13.604;13.345;229.742;354.382;260.144;0.2;2.177;0.003;0.076;987.0;2;Reduced Suitability;Reduced Suitability: Water conditions are under stress and may impair aquaculture performance, fish health, or pond stability.
